meme_id,timestep,agent1,agent2
307,11,40.0,43.0
307,11,40.0,44.0
307,11,40.0,45.0
307,11,40.0,46.0
307,11,40.0,47.0
307,11,40.0,48.0
307,11,40.0,49.0
308,11,40.0,41.0
308,11,40.0,42.0
308,11,40.0,43.0
308,11,40.0,44.0
308,11,40.0,45.0
308,11,40.0,46.0
308,11,40.0,47.0
308,11,40.0,48.0
308,11,40.0,49.0
232,11,19.0,9.0
310,11,49.0,39.0
319,11,30.0,31.0
319,11,30.0,32.0
319,11,30.0,33.0
319,11,30.0,34.0
319,11,30.0,35.0
319,11,30.0,36.0
319,11,30.0,37.0
319,11,30.0,38.0
319,11,30.0,39.0
324,11,39.0,29.0
326,11,40.0,41.0
326,11,40.0,42.0
326,11,40.0,43.0
326,11,40.0,44.0
326,11,40.0,45.0
326,11,40.0,46.0
326,11,40.0,47.0
326,11,40.0,48.0
326,11,40.0,49.0
329,11,30.0,31.0
329,11,30.0,32.0
329,11,30.0,33.0
329,11,30.0,34.0
329,11,30.0,35.0
329,11,30.0,36.0
329,11,30.0,37.0
329,11,30.0,38.0
329,11,30.0,39.0
330,11,10.0,11.0
330,11,10.0,12.0
330,11,10.0,13.0
330,11,10.0,14.0
330,11,10.0,15.0
330,11,10.0,16.0
330,11,10.0,17.0
330,11,10.0,18.0
330,11,10.0,19.0
159,11,39.0,29.0
337,12,49.0,39.0
342,12,39.0,29.0
153,12,0h,9.0
153,12,0h,14.0
153,12,0h,19.0
153,12,0h,34.0
153,12,0h,1l
347,12,40.0,41.0
347,12,40.0,42.0
347,12,40.0,43.0
347,12,40.0,44.0
347,12,40.0,45.0
347,12,40.0,46.0
347,12,40.0,47.0
347,12,40.0,48.0
347,12,40.0,49.0
210,12,49.0,39.0
41,12,0h,9.0
41,12,0h,14.0
41,12,0h,19.0
41,12,0h,34.0
41,12,0h,1l
350,12,30.0,31.0
350,12,30.0,32.0
350,12,30.0,33.0
350,12,30.0,34.0
350,12,30.0,35.0
350,12,30.0,36.0
350,12,30.0,37.0
350,12,30.0,38.0
350,12,30.0,39.0
363,12,0h,9.0
363,12,0h,14.0
363,12,0h,19.0
363,12,0h,34.0
363,12,0h,1l
366,13,30.0,31.0
366,13,30.0,32.0
366,13,30.0,33.0
366,13,30.0,34.0
366,13,30.0,35.0
366,13,30.0,36.0
366,13,30.0,37.0
366,13,30.0,38.0
366,13,30.0,39.0
368,13,19.0,9.0
16,13,1l,5.0
16,13,1l,7.0
16,13,1l,16.0
16,13,1l,47.0
16,13,1l,0h
371,13,20.0,21.0
371,13,20.0,22.0
371,13,20.0,23.0
371,13,20.0,24.0
371,13,20.0,25.0
371,13,20.0,26.0
371,13,20.0,27.0
371,13,20.0,28.0
371,13,20.0,29.0
372,13,10.0,11.0
372,13,10.0,12.0
372,13,10.0,13.0
372,13,10.0,14.0
372,13,10.0,15.0
372,13,10.0,16.0
372,13,10.0,17.0
372,13,10.0,18.0
372,13,10.0,19.0
41,13,1l,5.0
41,13,1l,7.0
41,13,1l,16.0
41,13,1l,47.0
41,13,1l,0h
374,13,19.0,9.0
376,13,10.0,11.0
376,13,10.0,12.0
376,13,10.0,13.0
376,13,10.0,14.0
376,13,10.0,15.0
376,13,10.0,16.0
376,13,10.0,17.0
376,13,10.0,18.0
376,13,10.0,19.0
379,13,30.0,31.0
379,13,30.0,32.0
379,13,30.0,33.0
379,13,30.0,34.0
379,13,30.0,35.0
379,13,30.0,36.0
379,13,30.0,37.0
379,13,30.0,38.0
379,13,30.0,39.0
380,13,0.0,1.0
380,13,0.0,2.0
380,13,0.0,3.0
380,13,0.0,4.0
380,13,0.0,5.0
380,13,0.0,6.0
380,13,0.0,7.0
380,13,0.0,8.0
380,13,0.0,9.0
382,13,20.0,21.0
382,13,20.0,22.0
382,13,20.0,23.0
382,13,20.0,24.0
382,13,20.0,25.0
382,13,20.0,26.0
382,13,20.0,27.0
382,13,20.0,28.0
382,13,20.0,29.0
386,13,19.0,9.0
41,13,19.0,9.0
235,13,39.0,29.0
396,14,39.0,29.0
41,14,0h,9.0
41,14,0h,14.0
41,14,0h,19.0
41,14,0h,34.0
41,14,0h,1l
399,14,30.0,31.0
399,14,30.0,32.0
399,14,30.0,33.0
399,14,30.0,34.0
399,14,30.0,35.0
399,14,30.0,36.0
399,14,30.0,37.0
399,14,30.0,38.0
399,14,30.0,39.0
401,14,10.0,11.0
401,14,10.0,12.0
401,14,10.0,13.0
401,14,10.0,14.0
401,14,10.0,15.0
401,14,10.0,16.0
401,14,10.0,17.0
401,14,10.0,18.0
401,14,10.0,19.0
41,14,0h,9.0
41,14,0h,14.0
41,14,0h,19.0
41,14,0h,34.0
41,14,0h,1l
413,14,39.0,29.0
416,14,40.0,41.0
416,14,40.0,42.0
416,14,40.0,43.0
416,14,40.0,44.0
416,14,40.0,45.0
416,14,40.0,46.0
416,14,40.0,47.0
416,14,40.0,48.0
416,14,40.0,49.0
280,14,19.0,9.0
307,14,49.0,39.0
420,14,0.0,1.0
420,14,0.0,2.0
420,14,0.0,3.0
420,14,0.0,4.0
420,14,0.0,5.0
420,14,0.0,6.0
420,14,0.0,7.0
420,14,0.0,8.0
420,14,0.0,9.0
423,14,20.0,21.0
423,14,20.0,22.0
423,14,20.0,23.0
423,14,20.0,24.0
423,14,20.0,25.0
423,14,20.0,26.0
423,14,20.0,27.0
423,14,20.0,28.0
423,14,20.0,29.0
379,15,39.0,29.0
37,15,0h,9.0
37,15,0h,14.0
37,15,0h,19.0
37,15,0h,34.0
37,15,0h,1l
427,15,39.0,29.0
429,15,0h,9.0
429,15,0h,14.0
429,15,0h,19.0
429,15,0h,34.0
429,15,0h,1l
431,15,39.0,29.0
433,15,1l,5.0
433,15,1l,7.0
433,15,1l,16.0
433,15,1l,47.0
433,15,1l,0h
435,15,1l,5.0
435,15,1l,7.0
435,15,1l,16.0
435,15,1l,47.0
435,15,1l,0h
439,15,0.0,1.0
439,15,0.0,2.0
439,15,0.0,3.0
439,15,0.0,4.0
439,15,0.0,5.0
439,15,0.0,6.0
439,15,0.0,7.0
439,15,0.0,8.0
439,15,0.0,9.0
442,15,0.0,1.0
442,15,0.0,2.0
442,15,0.0,3.0
442,15,0.0,4.0
442,15,0.0,5.0
442,15,0.0,6.0
442,15,0.0,7.0
442,15,0.0,8.0
442,15,0.0,9.0
443,15,1l,5.0
443,15,1l,7.0
443,15,1l,16.0
443,15,1l,47.0
443,15,1l,0h
454,15,49.0,39.0
457,15,30.0,31.0
457,15,30.0,32.0
457,15,30.0,33.0
457,15,30.0,34.0
457,15,30.0,35.0
457,15,30.0,36.0
457,15,30.0,37.0
457,15,30.0,38.0
457,15,30.0,39.0
459,16,30.0,31.0
459,16,30.0,32.0
459,16,30.0,33.0
459,16,30.0,34.0
459,16,30.0,35.0
459,16,30.0,36.0
459,16,30.0,37.0
459,16,30.0,38.0
459,16,30.0,39.0
461,16,20.0,21.0
461,16,20.0,22.0
461,16,20.0,23.0
461,16,20.0,24.0
461,16,20.0,25.0
461,16,20.0,26.0
461,16,20.0,27.0
461,16,20.0,28.0
461,16,20.0,29.0
433,16,0h,9.0
433,16,0h,14.0
433,16,0h,19.0
433,16,0h,34.0
433,16,0h,1l
464,16,0.0,1.0
464,16,0.0,2.0
464,16,0.0,3.0
464,16,0.0,4.0
464,16,0.0,5.0
464,16,0.0,6.0
464,16,0.0,7.0
464,16,0.0,8.0
464,16,0.0,9.0
465,16,30.0,31.0
465,16,30.0,32.0
465,16,30.0,33.0
465,16,30.0,34.0
465,16,30.0,35.0
465,16,30.0,36.0
465,16,30.0,37.0
465,16,30.0,38.0
465,16,30.0,39.0
37,16,19.0,9.0
16,16,0h,9.0
16,16,0h,14.0
16,16,0h,19.0
16,16,0h,34.0
16,16,0h,1l
467,16,40.0,41.0
467,16,40.0,42.0
467,16,40.0,43.0
467,16,40.0,44.0
467,16,40.0,45.0
467,16,40.0,46.0
467,16,40.0,47.0
467,16,40.0,48.0
467,16,40.0,49.0
470,16,40.0,41.0
470,16,40.0,42.0
470,16,40.0,43.0
470,16,40.0,44.0
470,16,40.0,45.0
470,16,40.0,46.0
470,16,40.0,47.0
470,16,40.0,48.0
470,16,40.0,49.0
473,16,20.0,21.0
473,16,20.0,22.0
473,16,20.0,23.0
473,16,20.0,24.0
473,16,20.0,25.0
473,16,20.0,26.0
473,16,20.0,27.0
473,16,20.0,28.0
473,16,20.0,29.0
433,16,0h,9.0
